0,0
1,3
2,5
3,5
4,3
5,5
6,1
7,5
8,1
9,5
10,4
11,2
12,1
13,2
14,5
15,5
16,5
17,0
18,2
19,3
20,5
21,5
22,0
23,5
24,0
25,4
26,0
27,0
28,1
29,1
30,5
31,5
32,2
33,4
34,4
35,5
36,1
37,2
38,2
39,1
40,4
41,3
42,5
43,5
44,4
45,0
46,5
47,4
48,3
49,4
50,1
51,5
52,2
53,5
54,5
55,5
56,5
57,1
58,1
59,5
60,5
61,0
62,5
63,1
64,1
65,5
66,5
67,1
68,5
69,1
70,5
71,3
72,2
73,5
74,5
75,1
76,3
77,0
78,5
79,2
80,5
81,5
82,5
83,5
84,2
85,5
86,2
87,0
88,0
89,5
90,2
91,5
92,2
93,0
94,3
95,2
96,1
97,1
98,0
99,5
100,2
101,5
102,5
103,4
104,5
105,5
106,5
107,0
108,5
109,4
110,2
111,0
112,3
113,1
114,5
115,3
116,3
117,0
118,2
119,1
120,2
121,5
122,5
123,5
124,3
125,2
126,0
127,2
128,5
129,1
130,4
131,1
132,3
133,5
134,5
135,5
136,4
137,1
138,3
139,5
140,2
141,3
142,4
143,5
144,3
145,3
146,0
147,5
148,1
149,5
150,5
151,5
152,1
153,5
154,5
155,3
156,5
157,3
158,1
159,1
160,1
161,2
162,5
163,5
164,2
165,3
166,2
167,1
168,3
169,5
170,5
171,5
172,4
173,4
174,0
175,2
176,0
177,5
178,4
179,5
180,3
181,3
182,2
183,5
184,1
185,5
186,5
187,5
188,0
189,5
190,1
191,5
192,5
193,3
194,0
195,5
196,4
197,5
198,2
199,5
200,3
201,5
202,2
203,5
204,5
205,5
206,5
207,5
208,1
209,5
210,3
211,2
212,3
213,5
214,5
215,1
216,2
217,5
218,1
219,4
220,5
221,5
222,5
223,0
224,3
225,5
226,4
227,2
228,5
229,5
230,5
231,3
232,5
233,2
234,5
235,2
236,0
237,5
238,1
239,5
240,5
241,1
242,1
243,1
244,5
245,3
246,5
247,0
248,5
249,1
250,3
251,2
252,3
253,5
254,5
255,2
256,1
257,1
258,5
259,1
260,5
261,1
262,3
263,5
264,5
265,5
266,0
267,1
268,5
269,2
270,5
271,5
272,3
273,5
274,5
275,5
276,3
277,4
278,0
279,5
280,4
281,5
282,0
283,5
284,5
285,5
286,2
287,5
288,5
289,5
290,3
291,3
292,3
293,1
294,5
295,1
296,5
297,1
298,5
299,5
300,5
301,5
302,0
303,3
304,5
305,5
306,2
307,5
308,0
309,2
310,5
311,1
312,5
313,2
314,2
315,5
316,0
317,5
318,5
319,4
320,5
321,5
322,4
323,5
324,5
325,5
326,4
327,5
328,5
329,4
