suite,task_id,task_name,task_description,episode_idx,instance_id,total_episode_idx,policy_name,checkpoint_ref,initial_states_path,success,num_env_steps,error_type,package_policy_slug
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,libero_goal/open_the_middle_drawer_of_the_cabinet/0000,0,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,174,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,libero_goal/open_the_middle_drawer_of_the_cabinet/0001,1,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,137,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,libero_goal/open_the_middle_drawer_of_the_cabinet/0002,2,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,132,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,3,libero_goal/open_the_middle_drawer_of_the_cabinet/0003,3,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,130,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,4,libero_goal/open_the_middle_drawer_of_the_cabinet/0004,4,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,138,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,5,libero_goal/open_the_middle_drawer_of_the_cabinet/0005,5,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,149,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,6,libero_goal/open_the_middle_drawer_of_the_cabinet/0006,6,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,128,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,7,libero_goal/open_the_middle_drawer_of_the_cabinet/0007,7,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,132,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,8,libero_goal/open_the_middle_drawer_of_the_cabinet/0008,8,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,132,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,9,libero_goal/open_the_middle_drawer_of_the_cabinet/0009,9,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,130,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,10,libero_goal/open_the_middle_drawer_of_the_cabinet/0010,10,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,142,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,11,libero_goal/open_the_middle_drawer_of_the_cabinet/0011,11,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,130,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,12,libero_goal/open_the_middle_drawer_of_the_cabinet/0012,12,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,143,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,13,libero_goal/open_the_middle_drawer_of_the_cabinet/0013,13,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,130,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,14,libero_goal/open_the_middle_drawer_of_the_cabinet/0014,14,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,135,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,15,libero_goal/open_the_middle_drawer_of_the_cabinet/0015,15,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,124,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,16,libero_goal/open_the_middle_drawer_of_the_cabinet/0016,16,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,124,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,17,libero_goal/open_the_middle_drawer_of_the_cabinet/0017,17,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,165,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,18,libero_goal/open_the_middle_drawer_of_the_cabinet/0018,18,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,133,,hif_vla
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,19,libero_goal/open_the_middle_drawer_of_the_cabinet/0019,19,hif_vla,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/hifvla-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,128,,hif_vla
